"No.","Station.ID","Date","Observed","Simulated","Month","Year"
307,7196900,"1995-01-01T05:00:00Z",4.34,4.65,1,1995
308,7196900,"1995-02-01T05:00:00Z",1.09,1.81,2,1995
309,7196900,"1995-03-01T05:00:00Z",1.38,2.17,3,1995
310,7196900,"1995-04-01T05:00:00Z",2.52,4.29,4,1995
311,7196900,"1995-05-01T04:00:00Z",4.53,4.54,5,1995
312,7196900,"1995-06-01T04:00:00Z",2.66,6.68,6,1995
313,7196900,"1996-01-01T05:00:00Z",2.65,2.79,1,1996
314,7196900,"1996-02-01T05:00:00Z",0.35,0.99,2,1996
315,7196900,"1996-03-01T05:00:00Z",0.4,1.22,3,1996
316,7196900,"1996-04-01T05:00:00Z",3.61,3.84,4,1996
317,7196900,"1996-05-01T04:00:00Z",1.67,2.37,5,1996
318,7196900,"1996-06-01T04:00:00Z",0.29,1.83,6,1996
319,7196900,"1997-01-01T05:00:00Z",0.51,1.92,1,1997
320,7196900,"1997-02-01T05:00:00Z",3.98,4.56,2,1997
321,7196900,"1997-03-01T05:00:00Z",2.06,2.36,3,1997
322,7196900,"1997-04-01T05:00:00Z",1.78,3.19,4,1997
323,7196900,"1997-05-01T04:00:00Z",0.47,2.31,5,1997
324,7196900,"1997-06-01T04:00:00Z",0.82,3.73,6,1997
325,7196900,"1998-01-01T05:00:00Z",7.3,7.73,1,1998
326,7196900,"1998-02-01T05:00:00Z",1.73,3.85,2,1998
327,7196900,"1998-03-01T05:00:00Z",4.59,5.41,3,1998
328,7196900,"1998-04-01T05:00:00Z",1.75,2.87,4,1998
329,7196900,"1998-05-01T04:00:00Z",0.6,2.22,5,1998
330,7196900,"1998-06-01T04:00:00Z",0.09,2.3,6,1998
331,7196900,"1999-01-01T05:00:00Z",0.67,1.92,1,1999
332,7196900,"1999-02-01T05:00:00Z",1.95,2.31,2,1999
333,7196900,"1999-03-01T05:00:00Z",2.46,4.76,3,1999
334,7196900,"1999-04-01T05:00:00Z",3.02,3.62,4,1999
