"No.","Station.ID","Date","Observed","Simulated","Month","Year"
1,7195800,"1995-01-01T05:00:00Z",0.56,1.04,1,1995
2,7195800,"1995-02-01T05:00:00Z",0.14,0.69,2,1995
3,7195800,"1995-03-01T05:00:00Z",0.22,0.89,3,1995
4,7195800,"1995-04-01T05:00:00Z",0.75,0.89,4,1995
5,7195800,"1995-05-01T04:00:00Z",1.35,1.2,5,1995
6,7195800,"1995-06-01T04:00:00Z",1.6,1.22,6,1995
7,7195800,"1996-01-01T05:00:00Z",0.34,0.57,1,1996
8,7195800,"1996-02-01T05:00:00Z",0.21,0.34,2,1996
9,7195800,"1996-03-01T05:00:00Z",0.25,0.27,3,1996
10,7195800,"1996-04-01T05:00:00Z",0.35,0.44,4,1996
11,7195800,"1996-05-01T04:00:00Z",0.43,0.41,5,1996
12,7195800,"1996-06-01T04:00:00Z",0.28,0.44,6,1996
13,7195800,"1997-01-01T05:00:00Z",0.27,0.86,1,1997
14,7195800,"1997-02-01T05:00:00Z",1.28,0.91,2,1997
15,7195800,"1997-03-01T05:00:00Z",0.76,0.92,3,1997
16,7195800,"1997-04-01T05:00:00Z",0.35,0.85,4,1997
17,7195800,"1997-05-01T04:00:00Z",0.24,0.67,5,1997
18,7195800,"1997-06-01T04:00:00Z",0.27,0.79,6,1997
19,7195800,"1998-01-01T05:00:00Z",1.43,1.25,1,1998
20,7195800,"1998-02-01T05:00:00Z",0.35,1.02,2,1998
21,7195800,"1998-03-01T05:00:00Z",1.11,1.17,3,1998
22,7195800,"1998-04-01T05:00:00Z",0.41,1.01,4,1998
23,7195800,"1998-05-01T04:00:00Z",0.38,1.13,5,1998
24,7195800,"1998-06-01T04:00:00Z",0.21,0.65,6,1998
25,7195800,"1999-01-01T05:00:00Z",0.22,0.52,1,1999
26,7195800,"1999-02-01T05:00:00Z",0.55,0.79,2,1999
27,7195800,"1999-03-01T05:00:00Z",0.79,0.86,3,1999
28,7195800,"1999-04-01T05:00:00Z",0.54,1.1,4,1999
